question_id,skill_name,question_text,reference_answer,keywords,difficulty_level
11,JavaScript,Explain prototypal inheritance and how it differs from classical inheritance.,"Objects inherit directly from other objects through the prototype chain, rather than from a class blueprint as in classical inheritance. Object.create() lets you create an object with a specified prototype, and __proto__ exposes that link. Class syntax is really just sugar layered on top of this same prototype-based mechanism.","[{""term"": ""prototype"", ""tier"": ""critical"", ""aliases"": [""prototype object""]}, {""term"": ""prototype chain"", ""tier"": ""critical"", ""aliases"": [""chain of prototypes""]}, {""term"": ""Object.create"", ""tier"": ""supporting"", ""aliases"": [""object dot create""]}, {""term"": ""class syntax"", ""tier"": ""supporting"", ""aliases"": [""es6 class"", ""class keyword""]}, {""term"": ""constructor function"", ""tier"": ""supporting"", ""aliases"": []}]",0.7
12,JavaScript,"How does JavaScript's garbage collection work, and what causes memory leaks in a long-running app?","Garbage collection primarily uses the mark-and-sweep algorithm: it marks every object reachable from root references, like global variables, and sweeps away anything unreachable. Leaks in long-running apps commonly come from closures that unintentionally hold onto large objects or DOM nodes, timers that are never cleared, and listeners that are attached but never removed.","[{""term"": ""mark and sweep"", ""tier"": ""critical"", ""aliases"": [""mark-and-sweep algorithm""]}, {""term"": ""reachability"", ""tier"": ""supporting"", ""aliases"": [""reachable objects""]}, {""term"": ""event listener"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""reference counting"", ""tier"": ""supporting"", ""aliases"": []}]",0.8
13,JavaScript,Explain how async/await is implemented under the hood using generators and promises.,"An async function always returns a promise, even if you return a plain value inside it. The await keyword pauses that function's execution until the awaited promise settles, without blocking the rest of the program. Conceptually this resembles a generator that yields promises one at a time, with an internal runner resuming it each time a yielded promise resolves.","[{""term"": ""coroutine"", ""tier"": ""supporting"", ""aliases"": [""coroutines""]}, {""term"": ""yield keyword"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""microtask queue"", ""tier"": ""supporting"", ""aliases"": [""job queue""]}]",0.85
14,JavaScript,"How would you implement a debounce function from scratch, and what are its tradeoffs vs throttling?","A debounced function wraps a callback in setTimeout, clearing and resetting that timer on every call so the callback only fires once input has stopped for a set delay. Throttling instead caps execution to run at most once per fixed interval no matter how often it's triggered. The former fits something like search-as-you-type, where you want to wait for a pause, while the latter fits high-frequency events like scroll or resize, where you want steady, capped updates.","[{""term"": ""throttle"", ""tier"": ""critical"", ""aliases"": []}, {""term"": ""setTimeout"", ""tier"": ""critical"", ""aliases"": [""set timeout""]}, {""term"": ""clearTimeout"", ""tier"": ""supporting"", ""aliases"": [""clear timeout""]}, {""term"": ""rate limiting"", ""tier"": ""supporting"", ""aliases"": [""rate limit""]}, {""term"": ""search input use case"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""leading edge"", ""tier"": ""supporting"", ""aliases"": [""trailing edge"", ""immediate invocation""]}]",0.9
15,JavaScript,"Design a custom implementation of Promise.all from scratch, handling rejection and ordering correctly.","A custom implementation tracks how many of the input promises have resolved and stores each result at its original array index, not the order in which it resolves, so ordering is preserved. If any promise rejects, the whole thing rejects immediately with that reason. It resolves only once every promise has settled successfully, returning the array of results.","[{""term"": ""concurrency"", ""tier"": ""critical"", ""aliases"": [""concurrent execution""]}, {""term"": ""rejection handling"", ""tier"": ""supporting"", ""aliases"": [""catch rejection""]}, {""term"": ""settled promise"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""Promise.allSettled"", ""tier"": ""supporting"", ""aliases"": []}]",1.0
16,React,What is a React component?,"It's a reusable, self-contained piece of UI, written as a function (or, less commonly now, a class), that returns JSX describing what should be rendered on the screen.","[{""term"": ""JSX"", ""tier"": ""critical"", ""aliases"": [""jsx syntax""]}, {""term"": ""function component"", ""tier"": ""supporting"", ""aliases"": [""functional component""]}, {""term"": ""class component"", ""tier"": ""supporting"", ""aliases"": [""class-based component""]}, {""term"": ""reusable ui"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""render output"", ""tier"": ""supporting"", ""aliases"": []}]",0.1
17,React,What is JSX and why is it used in React?,"It's a syntax extension that lets you write HTML-like markup directly inside JavaScript. It gets transpiled, usually by Babel, into React.createElement() calls under the hood, which makes component structure far easier to read and write than nested createElement calls would be.","[{""term"": ""Babel"", ""tier"": ""critical"", ""aliases"": [""babel transpiler""]}, {""term"": ""React.createElement"", ""tier"": ""supporting"", ""aliases"": [""createelement""]}, {""term"": ""transpile"", ""tier"": ""supporting"", ""aliases"": [""transpilation"", ""compiled down""]}, {""term"": ""declarative ui"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""expression embedding"", ""tier"": ""supporting"", ""aliases"": [""curly braces""]}]",0.15
18,React,How do you pass data from a parent component to a child component?,"Data is passed from parent to child via props, written as attributes on the JSX element in the parent. The child receives them as a single object - either as a function argument in function components or through this.props in class components.","[{""term"": ""props"", ""tier"": ""critical"", ""aliases"": [""properties""]}, {""term"": ""data flow"", ""tier"": ""supporting"", ""aliases"": [""one-way data flow"", ""unidirectional data flow""]}, {""term"": ""one-way binding"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""callback prop"", ""tier"": ""supporting"", ""aliases"": [""function as prop""]}]",0.2
19,React,What is the purpose of keys when rendering lists in React?,"They help React identify which items in a list were added, removed, or changed during reconciliation, so updates can be applied efficiently instead of re-rendering everything. They should be stable, unique identifiers tied to the underlying data, such as an id field, rather than the array position, especially once the list can be reordered or filtered - using position can cause state to get mismatched between items.","[{""term"": ""list rendering"", ""tier"": ""critical"", ""aliases"": [""mapping lists""]}, {""term"": ""reconciliation"", ""tier"": ""supporting"", ""aliases"": [""diffing process"", ""reconciler""]}, {""term"": ""stable identifier"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""array index as key"", ""tier"": ""supporting"", ""aliases"": []}]",0.25
20,React,What is conditional rendering in React and how can it be implemented?,"Different UI is shown depending on the current state or props. Common approaches include a ternary operator for either/or cases, short-circuit && expressions when you only want to render something or nothing, and early returns from the component function for larger conditional blocks.","[{""term"": ""ternary"", ""tier"": ""critical"", ""aliases"": [""ternary operator""]}, {""term"": ""short circuit"", ""tier"": ""supporting"", ""aliases"": [""short-circuit evaluation"", ""&&""]}, {""term"": ""early return"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""logical OR fallback"", ""tier"": ""supporting"", ""aliases"": []}]",0.3
21,React,Explain the difference between props and state.,"One is read-only data passed down from a parent and cannot be modified by the child receiving it. The other is data owned and managed internally by a component, can change over time, and triggers a re-render whenever it's updated.","[{""term"": ""read-only"", ""tier"": ""supporting"", ""aliases"": [""immutable"", ""cannot be modified""]}, {""term"": ""re-render"", ""tier"": ""supporting"", ""aliases"": [""rerender"", ""re-rendering""]}, {""term"": ""single source of truth"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""useState"", ""tier"": ""supporting"", ""aliases"": [""setState""]}]",0.4
22,React,What is lifting state up in React and when would you use it?,"It means moving state from a child up to its closest common ancestor so multiple sibling components can share and stay in sync with the same data. The ancestor then passes the state, and functions to update it, back down as props to whichever children need them.","[{""term"": ""shared state"", ""tier"": ""critical"", ""aliases"": [""common state""]}, {""term"": ""common ancestor"", ""tier"": ""supporting"", ""aliases"": [""shared parent"", ""closest parent""]}, {""term"": ""prop passing"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""callback function prop"", ""tier"": ""supporting"", ""aliases"": []}]",0.45
23,React,How does the useEffect hook work and when would you use dependency arrays?,"It runs a side effect after the component renders. The dependency array controls when it runs again: an empty array means it runs once after the initial mount, omitting the array means it runs after every render, and listing specific values means it re-runs only when those values change. Returning a function from inside it defines a cleanup that runs before the next execution or when the component unmounts.","[{""term"": ""side effect"", ""tier"": ""supporting"", ""aliases"": [""side effects""]}, {""term"": ""cleanup function"", ""tier"": ""supporting"", ""aliases"": [""cleanup"", ""teardown function""]}, {""term"": ""mount and unmount"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""stale closure"", ""tier"": ""supporting"", ""aliases"": []}]",0.5
24,React,What is the Context API and when should you use it instead of prop drilling?,"It lets you share a value across a component tree without manually threading it down as props through every intermediate level. It suits globally relevant data like the current theme or authenticated user, but since any change to the value re-renders every consumer, using it for frequently changing data can trigger broad, unnecessary re-renders.","[{""term"": ""Provider"", ""tier"": ""supporting"", ""aliases"": [""context provider""]}, {""term"": ""Consumer"", ""tier"": ""supporting"", ""aliases"": [""context consumer""]}, {""term"": ""global state"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""memoized context value"", ""tier"": ""supporting"", ""aliases"": []}]",0.55
25,React,Explain controlled vs uncontrolled components in React forms.,"In one style, the input's value is driven by React state and updated through an onChange handler, so React is the single source of truth. In the other, the DOM itself holds the current value, and you read it on demand using a ref rather than tracking it in state.","[{""term"": ""refs"", ""tier"": ""supporting"", ""aliases"": [""useref"", ""ref""]}, {""term"": ""form state"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""defaultValue"", ""tier"": ""supporting"", ""aliases"": []}]",0.6
26,React,Explain how React's reconciliation algorithm and virtual DOM diffing work.,"React keeps a lightweight in-memory tree representing the UI. On each update it builds a new version of that tree, diffs it against the previous one, and computes the minimal set of real DOM operations needed to bring the page in sync. Stable identifiers on list items help this diffing process match items correctly across renders, even when items are reordered or removed.","[{""term"": ""diffing algorithm"", ""tier"": ""supporting"", ""aliases"": [""diff algorithm""]}, {""term"": ""keys"", ""tier"": ""supporting"", ""aliases"": [""key prop"", ""list keys""]}, {""term"": ""batched updates"", ""tier"": ""supporting"", ""aliases"": []}]",0.7
27,React,"How would you implement code-splitting in a React app, and what problems does it solve?","The JavaScript bundle is broken into smaller chunks that load on demand rather than all at once. In React this is typically done with React.lazy() combined with Suspense, or a plain dynamic import(), so a route or component's code is only downloaded when it's actually needed - reducing the app's initial load time.","[{""term"": ""code splitting"", ""tier"": ""critical"", ""aliases"": []}, {""term"": ""React.lazy"", ""tier"": ""critical"", ""aliases"": [""lazy loading"", ""react lazy""]}, {""term"": ""Suspense"", ""tier"": ""supporting"", ""aliases"": [""react suspense""]}, {""term"": ""dynamic import"", ""tier"": ""supporting"", ""aliases"": [""dynamic imports""]}, {""term"": ""bundle size"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""bundle chunk"", ""tier"": ""supporting"", ""aliases"": [""webpack chunk""]}]",0.8
28,React,Explain how React Fiber changed the reconciliation process compared to the old stack reconciler.,"The newer architecture replaced React's old synchronous, stack-based reconciler with an incremental one that breaks rendering work into small units which can be paused, resumed, and prioritized. That interruptibility is what enables concurrent features, letting React stay responsive by yielding to more urgent work, like animations or input, mid-render.","[{""term"": ""incremental rendering"", ""tier"": ""critical"", ""aliases"": [""interruptible rendering""]}, {""term"": ""concurrent mode"", ""tier"": ""supporting"", ""aliases"": [""concurrent rendering""]}, {""term"": ""priority scheduling"", ""tier"": ""supporting"", ""aliases"": [""task prioritization"", ""scheduling""]}, {""term"": ""interruptible work"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""time slicing"", ""tier"": ""supporting"", ""aliases"": []}]",0.85
29,React,How would you optimize a large React application experiencing unnecessary re-renders across deeply nested components?,"React.memo skips re-rendering a component when its props haven't changed. useMemo caches expensive computed values, and useCallback keeps function references stable across renders. Splitting a large context into smaller pieces limits how many components re-render on a change, and code-splitting reduces what needs to render at once. Before reaching for any of these, profiling with React DevTools is important to find the actual bottleneck rather than optimizing blindly.","[{""term"": ""React.memo"", ""tier"": ""critical"", ""aliases"": [""memo"", ""react memo""]}, {""term"": ""useMemo"", ""tier"": ""critical"", ""aliases"": [""use memo hook""]}, {""term"": ""useCallback"", ""tier"": ""critical"", ""aliases"": [""use callback hook""]}, {""term"": ""context splitting"", ""tier"": ""supporting"", ""aliases"": [""splitting contexts""]}, {""term"": ""React DevTools"", ""tier"": ""supporting"", ""aliases"": [""dev tools profiler"", ""react profiler""]}, {""term"": ""profiling"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""list virtualization"", ""tier"": ""supporting"", ""aliases"": [""windowing""]}]",0.9
30,React,"Design a custom hook for data fetching that handles caching, request deduplication, and race conditions between rapid successive calls.","Results can be cached and keyed by the request parameters, so a repeated call for the same data returns instantly. To avoid duplicate calls, the hook tracks in-flight requests by key and reuses the pending promise if a matching one is already running. To handle rapid successive calls, it can use an AbortController to cancel outdated requests, or tag each request with an incrementing id and ignore any response that isn't from the most recent call.","[{""term"": ""AbortController"", ""tier"": ""supporting"", ""aliases"": [""abort controller""]}, {""term"": ""stale response"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""stale-while-revalidate"", ""tier"": ""supporting"", ""aliases"": [""SWR pattern""]}]",1.0
31,Data Structures,What is Big O notation and why is it used?,"It describes how an algorithm's runtime or memory usage grows as input size increases, expressed as an upper bound independent of the specific hardware it runs on. This lets you compare the efficiency of different algorithms or implementations in a consistent, hardware-agnostic way.","[{""term"": ""time complexity"", ""tier"": ""critical"", ""aliases"": [""runtime complexity""]}, {""term"": ""space complexity"", ""tier"": ""supporting"", ""aliases"": [""memory complexity""]}, {""term"": ""algorithm efficiency"", ""tier"": ""supporting"", ""aliases"": [""efficiency of algorithm""]}, {""term"": ""worst case"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""average case"", ""tier"": ""supporting"", ""aliases"": []}]",0.1
32,Data Structures,What is the difference between an array and a linked list?,"One stores elements in contiguous memory, giving O(1) access to any position but making mid-sequence insertion or removal expensive since later elements have to shift. The other stores nodes scattered in memory and connected by pointers, giving O(1) insertion and deletion once you're at the right position, but only O(n) access since you have to traverse from the head to reach a given element.","[{""term"": ""contiguous memory"", ""tier"": ""critical"", ""aliases"": [""contiguous block"", ""contiguous allocation""]}, {""term"": ""pointer"", ""tier"": ""supporting"", ""aliases"": [""pointers"", ""reference""]}, {""term"": ""time complexity"", ""tier"": ""supporting"", ""aliases"": [""runtime complexity""]}, {""term"": ""random access"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""doubly linked list"", ""tier"": ""supporting"", ""aliases"": []}]",0.15
33,Data Structures,What is binary search and what condition must be true for it to work?,"The algorithm repeatedly compares the target to the middle element of the remaining range and discards the half that can't contain it, halving the search space each step. For this to work correctly, the data must already be sorted, since the technique relies on ordering to decide which half to eliminate.","[{""term"": ""sorted array"", ""tier"": ""critical"", ""aliases"": [""sorted list"", ""sorted data""]}, {""term"": ""O(log n)"", ""tier"": ""supporting"", ""aliases"": [""logarithmic time""]}, {""term"": ""divide and conquer"", ""tier"": ""supporting"", ""aliases"": [""divide-and-conquer""]}, {""term"": ""midpoint calculation"", ""tier"": ""supporting"", ""aliases"": []}]",0.2
34,Data Structures,What is recursion and what are its two essential components?,"It's when a function calls itself to solve a problem by breaking it into smaller instances of the same problem. It requires two essential pieces: a condition that stops the calls once a simple, directly solvable case is reached, and a step that reduces the problem and moves it closer to that stopping condition.","[{""term"": ""base case"", ""tier"": ""critical"", ""aliases"": [""base condition"", ""stopping condition""]}, {""term"": ""recursive case"", ""tier"": ""supporting"", ""aliases"": [""inductive case""]}, {""term"": ""call stack"", ""tier"": ""supporting"", ""aliases"": [""stack frame"", ""execution stack""]}, {""term"": ""stack overflow"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""tail recursion"", ""tier"": ""supporting"", ""aliases"": []}]",0.25
35,Data Structures,What is a binary tree and how does it differ from a binary search tree?,"One is any tree where each node has at most two children, with no rule about how values are arranged. The other adds an ordering constraint on top of that: for every node, all values in its left subtree are smaller and all values in its right subtree are larger, which is what enables efficient searching.","[{""term"": ""ordering property"", ""tier"": ""supporting"", ""aliases"": [""bst property"", ""sorted order property""]}, {""term"": ""tree traversal"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""balanced tree"", ""tier"": ""supporting"", ""aliases"": []}]",0.3
36,Data Structures,"Explain how a stack and queue differ, with real world examples.","One follows Last-In-First-Out ordering - the last item added is the first one removed, like a stack of plates or a browser's back button history. The other follows First-In-First-Out ordering - the first item added is the first one removed, like a line of customers at a store or a print job queue.","[{""term"": ""LIFO"", ""tier"": ""critical"", ""aliases"": [""last in first out""]}, {""term"": ""FIFO"", ""tier"": ""critical"", ""aliases"": [""first in first out""]}, {""term"": ""push"", ""tier"": ""supporting"", ""aliases"": [""push operation""]}, {""term"": ""pop"", ""tier"": ""supporting"", ""aliases"": [""pop operation""]}, {""term"": ""enqueue"", ""tier"": ""supporting"", ""aliases"": [""enqueue operation""]}, {""term"": ""dequeue"", ""tier"": ""supporting"", ""aliases"": [""dequeue operation""]}, {""term"": ""real world analogy"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""circular buffer"", ""tier"": ""supporting"", ""aliases"": []}]",0.4
37,Data Structures,"What is a graph, and what's the difference between BFS and DFS traversal?","It's a set of nodes connected by edges, which can be directed or undirected and weighted or unweighted. One traversal explores level by level, visiting all neighbors of a node before moving further out, typically using a queue. The other explores as far as possible down one path before backtracking, typically using a stack or recursion.","[{""term"": ""adjacency list"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""adjacency matrix"", ""tier"": ""supporting"", ""aliases"": []}]",0.45
38,Data Structures,How does a hashmap achieve average O(1) lookup time?,"A key is run through a hash function to compute an index into an underlying array, which is where the corresponding value is stored - giving average constant-time lookup, insertion, and deletion since you jump almost directly to the right slot. When two keys hash to the same index, the collision is typically resolved through chaining, where each slot holds a small list of entries, or open addressing, where the entry is placed in the next available slot.","[{""term"": ""hash function"", ""tier"": ""critical"", ""aliases"": [""hashing function""]}, {""term"": ""collision"", ""tier"": ""supporting"", ""aliases"": [""hash collision"", ""collisions""]}, {""term"": ""chaining"", ""tier"": ""supporting"", ""aliases"": [""separate chaining""]}, {""term"": ""load factor"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""rehashing"", ""tier"": ""supporting"", ""aliases"": [""resizing""]}]",0.5
39,Data Structures,Explain how merge sort works and what its time complexity is.,"This is a divide-and-conquer algorithm that recursively splits the array in half until each piece has one element, then merges the sorted halves back together in order. Because the split and merge steps behave consistently regardless of the input's initial order, it runs in O(n log n) time in the best, average, and worst cases.","[{""term"": ""divide and conquer"", ""tier"": ""critical"", ""aliases"": [""divide-and-conquer""]}, {""term"": ""O(n log n)"", ""tier"": ""supporting"", ""aliases"": [""n log n time""]}, {""term"": ""stable sort"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""auxiliary space"", ""tier"": ""supporting"", ""aliases"": [""O(n) space""]}]",0.55
40,Data Structures,What is dynamic programming and how does it differ from plain recursion?,"A problem is broken into overlapping subproblems, and the result of each is stored - either top-down with memoization or bottom-up with tabulation - so it's never recomputed. Plain recursion re-solves the same subproblems repeatedly without remembering previous results, which can make the runtime blow up exponentially when there's a lot of overlap.","[{""term"": ""memoization"", ""tier"": ""critical"", ""aliases"": [""memoize"", ""memoizing""]}, {""term"": ""tabulation"", ""tier"": ""supporting"", ""aliases"": [""bottom-up dp""]}, {""term"": ""overlapping subproblems"", ""tier"": ""supporting"", ""aliases"": [""repeated subproblems""]}, {""term"": ""subproblem reuse"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""state transition"", ""tier"": ""supporting"", ""aliases"": []}]",0.6
41,Data Structures,Explain how you would detect a cycle in a linked list.,"The tortoise-and-hare technique uses two pointers moving through the list at different speeds, typically one step at a time and two steps at a time. If the list contains a loop, the faster pointer eventually catches up to and meets the slower one; if it reaches the end instead, there's no loop.","[{""term"": ""cycle detection"", ""tier"": ""critical"", ""aliases"": [""detecting a cycle""]}, {""term"": ""Floyd's algorithm"", ""tier"": ""critical"", ""aliases"": [""floyd's cycle detection"", ""tortoise and hare""]}, {""term"": ""slow pointer"", ""tier"": ""supporting"", ""aliases"": [""slow runner""]}, {""term"": ""fast pointer"", ""tier"": ""supporting"", ""aliases"": [""fast runner""]}, {""term"": ""two pointer technique"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""cycle start node"", ""tier"": ""supporting"", ""aliases"": []}]",0.7
42,Data Structures,How would you find the k-th largest element in an unsorted array efficiently?,"A min-heap of size k works well: iterate through the array, keep the heap holding the k largest elements seen so far, and its root ends up being the answer - this runs in O(n log k) time. A partition-based selection algorithm, a variant of quicksort's partition step, finds the same answer in average O(n) time, though its worst case is quadratic unless a good pivot strategy is used, making it faster on average but less predictable.","[{""term"": ""min-heap"", ""tier"": ""critical"", ""aliases"": [""min heap""]}, {""term"": ""quickselect"", ""tier"": ""supporting"", ""aliases"": [""quick select""]}, {""term"": ""O(n log k)"", ""tier"": ""supporting"", ""aliases"": [""n log k time""]}, {""term"": ""heap data structure"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""partitioning"", ""tier"": ""supporting"", ""aliases"": []}]",0.8
43,Data Structures,Explain how a trie data structure works and where it's useful.,"Each node represents a single character, and the path from the root to a node spells out a prefix or, at certain marked nodes, a complete word. This structure is especially useful for autocomplete and spellcheck, since looking up or inserting a word takes time proportional only to the word's length, regardless of how many other words are stored.","[{""term"": ""prefix tree"", ""tier"": ""critical"", ""aliases"": [""trie structure""]}, {""term"": ""autocomplete"", ""tier"": ""supporting"", ""aliases"": [""auto-complete"", ""word suggestion""]}, {""term"": ""O(m) lookup"", ""tier"": ""supporting"", ""aliases"": [""lookup proportional to word length""]}, {""term"": ""character node"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""word insertion"", ""tier"": ""supporting"", ""aliases"": []}]",0.85
